New,dl_bler,ul_bler,conn_avg,conn_max,interx2in_succ_rate,interx2out_succ_rate,intraenb_succ_rate,dl_prb,ul_prb,reconfig_succ_rate
1004_0-20211025-21,10.432118189141,22.0656356058856,33.0822679266259,52.0,94.8126801152738,99.8960498960499,99.8373983739837,51.9080938833571,41.0414651493599,98.5711019661637
1004_0-20211025-22,9.4043947683347,17.5839254735788,34.5425236242357,51.0,96.8944099378882,99.869451697128,100.0,60.1601280227596,43.0430156472262,98.9223117006158
1004_0-20211025-23,8.6851271204059,14.5089716718915,32.7570872707059,52.0,,100.0,100.0,,,99.137311286844
1004_0-20211026-0,8.28434135693558,15.1129720267106,30.0216787103947,49.0,97.3421926910299,100.0,99.0990990990991,39.6681507823613,24.0002560455192,99.3417286777333
1004_0-20211026-1,7.91520141260065,15.1087430450051,24.1411895497499,45.0,98.0676328502416,100.0,100.0,29.1997159090909,14.0865056818182,99.7240237339589
1004_0-20211026-2,7.56411075921783,18.7821221325406,20.3485269594219,34.0,99.3377483443709,100.0,100.0,21.9991749644381,10.3192034139403,99.1206472036581
1004_0-20211026-3,6.56157898504898,19.1541879381764,21.2934963868816,36.0,97.841726618705,99.2957746478873,100.0,14.941920341394,9.93324324324324,99.7837298286475
1004_0-20211026-4,6.57652406606319,17.0550494992752,22.8510283490828,36.0,98.6111111111111,100.0,100.0,19.1012091038407,11.5382219061166,99.792243767313
1004_0-20211026-5,6.41907711594123,21.6389947816727,20.7670928293496,35.0,97.9057591623037,100.0,100.0,10.2460170697013,8.58926031294452,99.4573779100298
1004_0-20211026-6,7.90713368026266,21.9920761407028,,,99.0147783251232,100.0,100.0,18.7208392603129,17.2060455192034,99.851811935875
1004_0-20211026-7,9.54571436034621,22.4196269454675,26.1607341490545,45.0,97.4117647058824,100.0,100.0,34.7291038406828,22.3233285917496,98.7963891675025
